lon,lat,origin,,lon,lat,destination
120.43869,36.280287,b46,,120.43746,36.305885,b47
120.43746,36.305885,b47,,120.42834,36.32851,b48
120.42834,36.32851,b48,,120.42424,36.35543,b49
120.42424,36.35543,b49,,120.40096,36.382399,b50
120.40096,36.382399,b50,,120.40441,36.386466,b51
120.40441,36.386466,b51,,120.3764,36.389285,b52
120.3764,36.389285,b52,,120.35915,36.398,b53
120.35915,36.398,b53,,120.34118,36.428555,b54
120.34118,36.428555,b54,,120.32724,36.460374,b55
120.32724,36.460374,b55,,120.26716,36.492645,b56
120.26716,36.492645,b56,,120.24474,36.519334,b57
120.32499,36.07263,a1,,120.32705,36.072958,a2
120.32705,36.072958,a2,,120.32838,36.073271,a3
120.32838,36.073271,a3,,120.32868,36.073585,a4
120.32868,36.073585,a4,,120.32947,36.0743,a5
120.32947,36.0743,a5,,120.33031,36.07492,a6
120.33031,36.07492,a6,,120.33045,36.075554,a7
120.33045,36.075554,a7,,120.32985,36.076539,a8
120.32985,36.076539,a8,,120.33028,36.077815,a9
120.33028,36.077815,a9,,120.33019,36.078413,a10
120.33019,36.078413,a10,,120.33136,36.078559,a11
120.33136,36.078559,a11,,120.3332,36.078471,a12
120.3332,36.078471,a12,,120.33509,36.079098,a13
120.33509,36.079098,a13,,120.34546,36.081089,a14
120.34546,36.081089,a14,,120.34298,36.081315,a15
120.34298,36.081315,a15,,120.34145,36.082409,a16
120.34145,36.082409,a16,,120.34013,36.083291,a17
120.34013,36.083291,a17,,120.33885,36.083751,a18
120.33885,36.083751,a18,,120.33953,36.084494,a19
120.33953,36.084494,a19,,120.3386,36.084859,a20
120.3386,36.084859,a20,,120.33675,36.085668,a21
120.33675,36.085668,a21,,120.33675,36.085703,a22
120.33675,36.085703,a22,,120.34091,36.089991,a23
120.34091,36.089991,a23,,120.34248,36.090384,a24
120.34248,36.090384,a24,,120.34336,36.090257,a25
120.34336,36.090257,a25,,120.34499,36.089907,a26
120.34499,36.089907,a26,,120.34663,36.090636,a27
120.34663,36.090636,a27,,120.34338,36.094675,a28
120.34338,36.094675,a28,,120.343,36.09835,a29
120.343,36.09835,a29,,120.34686,36.109052,a30
120.34686,36.109052,a30,,120.33594,36.118207,a31
120.33594,36.118207,a31,,120.34197,36.134357,a32
120.34197,36.134357,a32,,120.35419,36.145492,a33
120.35419,36.145492,a33,,120.36964,36.166706,a34
